Channel Id,Channel Url,Channel Title
UC-veA4H0QF3Ev4uZe9vpQrQ,http://www.youtube.com/channel/UC-veA4H0QF3Ev4uZe9vpQrQ,大阪・海遊館 Osaka Aquarium Kaiyukan
UC-vrN89jIox3XqAKbEMeFgQ,http://www.youtube.com/channel/UC-vrN89jIox3XqAKbEMeFgQ,GOBELINS Paris
UC0iiyed14XtRqxOcGgwSHDw,http://www.youtube.com/channel/UC0iiyed14XtRqxOcGgwSHDw,Beta Routesetting
UC0k238zFx-Z8xFH0sxCrPJg,http://www.youtube.com/channel/UC0k238zFx-Z8xFH0sxCrPJg,Architectural Digest
UC0uK-oWwxf887yOGYIeQpWQ,http://www.youtube.com/channel/UC0uK-oWwxf887yOGYIeQpWQ,Bouldering Highlights
UC2H3kgKMXiPF4qySxY3yD8g,http://www.youtube.com/channel/UC2H3kgKMXiPF4qySxY3yD8g,Impact Route Setting
UC2MGuhIaOP6YLpUx106kTQw,http://www.youtube.com/channel/UC2MGuhIaOP6YLpUx106kTQw,International Federation of Sport Climbing
UC3JhfsgFPLSLNEROQCdj-GQ,http://www.youtube.com/channel/UC3JhfsgFPLSLNEROQCdj-GQ,Headspace
UC5CSgrlchwozIeFlacSztHw,http://www.youtube.com/channel/UC5CSgrlchwozIeFlacSztHw,Catalyst Climbing
UC6-rliFvsdCUTZndrZTQjMA,http://www.youtube.com/channel/UC6-rliFvsdCUTZndrZTQjMA,Movement for Climbers
UC6yInXJi4URcBN9qj3s80Lg,http://www.youtube.com/channel/UC6yInXJi4URcBN9qj3s80Lg,FLUXUS INC. [Youtube Official]
UC84S_JcTHwx_NBu84qWH0Xg,http://www.youtube.com/channel/UC84S_JcTHwx_NBu84qWH0Xg,Ross Fulkerson  
UC8butISFwT-Wl7EV0hUK0BQ,http://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ,freeCodeCamp.org
UC8eNyF9eYwgr_K-Nl4gSHWw,http://www.youtube.com/channel/UC8eNyF9eYwgr_K-Nl4gSHWw,Adam Ondra
UC9I_d6WgAVVBwX-68Km6bUg,http://www.youtube.com/channel/UC9I_d6WgAVVBwX-68Km6bUg,Bouldering TV
UCA0g3liRXdpqyhxiQiE55tA,http://www.youtube.com/channel/UCA0g3liRXdpqyhxiQiE55tA,MinuteFood
UCAaYtlrFtwIZjrKtvvOudWQ,http://www.youtube.com/channel/UCAaYtlrFtwIZjrKtvvOudWQ,CompetitionClimbing
UCAzKFALPuF_EPe-AEI0WFFw,http://www.youtube.com/channel/UCAzKFALPuF_EPe-AEI0WFFw,TwoSetViolin
UCBjh-uGy5RcclATnFpQBobw,http://www.youtube.com/channel/UCBjh-uGy5RcclATnFpQBobw,A Chick Called Albert
UCCYX4s1DCn51Hpf1peHS30Q,http://www.youtube.com/channel/UCCYX4s1DCn51Hpf1peHS30Q,Cinema Therapy
UCDAXusYwRJpiSP2CHnXnVnw,http://www.youtube.com/channel/UCDAXusYwRJpiSP2CHnXnVnw,The Neighbourhood
UCDRZWhedLhwllnac-RBxvyw,http://www.youtube.com/channel/UCDRZWhedLhwllnac-RBxvyw,John Downer Productions
UCDvDHr5CYKBrbwaqRs04LPw,http://www.youtube.com/channel/UCDvDHr5CYKBrbwaqRs04LPw,Data Visualization Society
UCEblzEyYy0bmf-DcA6v8npg,http://www.youtube.com/channel/UCEblzEyYy0bmf-DcA6v8npg,Miho Nonaka / 野中生萌
UCG5-oZs-bmRZ_lSJrft_SiA,http://www.youtube.com/channel/UCG5-oZs-bmRZ_lSJrft_SiA,Climbing Fans
UCHWa5v6bbSxpns7mUfC3e5g,http://www.youtube.com/channel/UCHWa5v6bbSxpns7mUfC3e5g,Yo-Yo Ma
UCH_VqR5rFFhgjZmM31xA3Ag,http://www.youtube.com/channel/UCH_VqR5rFFhgjZmM31xA3Ag,Accented Cinema
UCIA9jUDnKVMYc4SmqTxcwqg,http://www.youtube.com/channel/UCIA9jUDnKVMYc4SmqTxcwqg,Cartoon Hangover
UCIRIbjrEHserQZ6O1Jd9wrg,http://www.youtube.com/channel/UCIRIbjrEHserQZ6O1Jd9wrg,EpicTV Climbing Daily
UCIRjdHLsHq6xdtAHAmoueqg,http://www.youtube.com/channel/UCIRjdHLsHq6xdtAHAmoueqg,Bouldering Bobat
UCK2Dxvy9H1NojirvaxnEnqw,http://www.youtube.com/channel/UCK2Dxvy9H1NojirvaxnEnqw,Terra Mater
UCKFdPfB8a5nMCO_7KvXZs3Q,http://www.youtube.com/channel/UCKFdPfB8a5nMCO_7KvXZs3Q,Die Techniker Boulder Bundesliga
UCKHIJfXQgzAzv0sHcgoMEAg,http://www.youtube.com/channel/UCKHIJfXQgzAzv0sHcgoMEAg,Yoga with Ieva Luna
UCLGyTGdu7R7D7pNNFAJGcHg,http://www.youtube.com/channel/UCLGyTGdu7R7D7pNNFAJGcHg,Jakob Schubert
UCLXo7UDZvByw2ixzpQCufnA,http://www.youtube.com/channel/UCLXo7UDZvByw2ixzpQCufnA,Vox
UCLze_9DjASz_ZxB7UTt2Alw,http://www.youtube.com/channel/UCLze_9DjASz_ZxB7UTt2Alw,Bouldering DabRats
UCM6wLac9BG_isMiSm1IzKmg,http://www.youtube.com/channel/UCM6wLac9BG_isMiSm1IzKmg,"Orion Cramer - Deleted Scenes, Bloopers, Extras"
UCMQzIsi7kwz1_xZjqNhz9kw,http://www.youtube.com/channel/UCMQzIsi7kwz1_xZjqNhz9kw,Lattice Training
UCO6nDCimkF79NZRRb8YiDcA,http://www.youtube.com/channel/UCO6nDCimkF79NZRRb8YiDcA,Storied
UCOFUtpf-AKbCXN1nrBL2qcw,http://www.youtube.com/channel/UCOFUtpf-AKbCXN1nrBL2qcw,newline
UCOjD18EJYcsBog4IozkF_7w,http://www.youtube.com/channel/UCOjD18EJYcsBog4IozkF_7w,PyData
UCQsVmhSa4X-G3lHlUtejzLA,http://www.youtube.com/channel/UCQsVmhSa4X-G3lHlUtejzLA,Figma
UCR43TuBatMujnfl-Ctr7nDQ,http://www.youtube.com/channel/UCR43TuBatMujnfl-Ctr7nDQ,Data Visualization Zurich
UCSnxeea0xVqGh-BKXjvz44A,http://www.youtube.com/channel/UCSnxeea0xVqGh-BKXjvz44A,BLOC House
UCTCf6WgbzGdm6pli_3pF2uA,http://www.youtube.com/channel/UCTCf6WgbzGdm6pli_3pF2uA,Data Visualization Stockholm
UCU8dLMDouvcZDO_CvSWJ1cQ,http://www.youtube.com/channel/UCU8dLMDouvcZDO_CvSWJ1cQ,Actiontalk TV
UCUqIRJJJeKgbuNAPTl_Afig,http://www.youtube.com/channel/UCUqIRJJJeKgbuNAPTl_Afig,Albert Ok
UCUyvQV2JsICeLZP4c_h40kA,http://www.youtube.com/channel/UCUyvQV2JsICeLZP4c_h40kA,Thomas Flight
UCVIFCOJwv3emlVmBbPCZrvw,http://www.youtube.com/channel/UCVIFCOJwv3emlVmBbPCZrvw,Joel Haver
UCW8Mf2rA9gokIwboGbcVyjg,http://www.youtube.com/channel/UCW8Mf2rA9gokIwboGbcVyjg,semiotic salmon
UCXqtOHE7_B8DlXIqd03barA,http://www.youtube.com/channel/UCXqtOHE7_B8DlXIqd03barA,Flathold Official
UCZDx-SKnLRjpviwzgk7g86w,http://www.youtube.com/channel/UCZDx-SKnLRjpviwzgk7g86w,Spice N' Pans
UC_QG8miwKHFNuWY9VpkrI8w,http://www.youtube.com/channel/UC_QG8miwKHFNuWY9VpkrI8w,Cateen かてぃん
UC_Vh9oXcLZs6YRaAEC9zhIw,http://www.youtube.com/channel/UC_Vh9oXcLZs6YRaAEC9zhIw,rockentry
UCahhywgs_BBOQ6fLHWmaRRw,http://www.youtube.com/channel/UCahhywgs_BBOQ6fLHWmaRRw,Austria Climbing
